word,root,affix,side,zipf,comp
overrule,rule,over,prefix,2.73,0.3673218786716461
illegality,illegal,ity,suffix,2.66,0.36742180585861206
godliness,godly,ness,suffix,2.53,0.3677554428577423
undisturbed,disturbed,un,prefix,2.99,0.36781302094459534
searchable,search,able,suffix,2.87,0.367910236120224
reheat,heat,re,prefix,2.6,0.36851876974105835
rewatch,watch,re,prefix,2.97,0.36870869994163513
regenerate,generate,re,prefix,3.15,0.3687750995159149
precondition,condition,pre,prefix,2.63,0.36920085549354553
pointless,point,less,suffix,3.88,0.3702058792114258
disbarred,barred,dis,prefix,2.5,0.3707672357559204
missteps,steps,mis,prefix,2.59,0.37117987871170044
reconstructions,constructions,re,prefix,2.81,0.37122103571891785
publicity,public,ity,suffix,4.0,0.3715682327747345
unsigned,signed,un,prefix,3.17,0.3716413974761963
interstellar,stellar,inter,prefix,3.34,0.3717762231826782
reproducing,producing,re,prefix,3.04,0.3719276487827301
traditionalist,traditional,ist,suffix,2.75,0.3721734583377838
outposts,posts,out,prefix,2.98,0.3724163770675659
outnumber,number,out,prefix,2.98,0.3727613091468811
antiseptic,septic,anti,prefix,2.81,0.37302061915397644
questionable,question,able,suffix,3.78,0.3731282949447632
underestimated,estimated,under,prefix,3.39,0.37360072135925293
transcontinental,continental,trans,prefix,2.77,0.373933345079422
watchful,watch,ful,suffix,3.09,0.37397268414497375
inferiority,inferior,ity,suffix,2.97,0.37425270676612854
personable,person,able,suffix,2.69,0.3750060498714447
intersections,sections,inter,prefix,3.27,0.3751766085624695
walkable,walk,able,suffix,2.6,0.37518492341041565
disconnection,connection,dis,prefix,2.66,0.37567079067230225
pretend,tend,pre,prefix,4.33,0.3759700357913971
underestimate,estimate,under,prefix,3.69,0.37612947821617126
fullness,full,ness,suffix,3.03,0.37617549300193787
remind,mind,re,prefix,4.37,0.3767397999763489
disapproved,approved,dis,prefix,2.94,0.3767681419849396
antivirus,virus,anti,prefix,2.9,0.3767799139022827
disorderly,orderly,dis,prefix,3.15,0.3775167465209961
foreclosures,closures,fore,prefix,2.8,0.37752845883369446
disorganized,organized,dis,prefix,3.0,0.37774717807769775
correctness,correct,ness,suffix,3.39,0.3780467212200165
disqualified,qualified,dis,prefix,3.44,0.37877604365348816
pregame,game,pre,prefix,2.93,0.37888070940971375
favourable,favour,able,suffix,3.53,0.3790980279445648
adaptive,adapt,ive,suffix,3.61,0.3791906535625458
geneticist,genetic,ist,suffix,2.61,0.37926554679870605
